timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];hall_voltage [V];encoder_paddle_vel [deg/s];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
969.37225;-0.0004305528419;0;350;0;0.9119999409;2.520535231;0;0;0;0;0
969.3733;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.37435;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
969.3754;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.37645;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.3775;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.3782;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.37925;-0.0004305528419;0;350;0;0.9119999409;2.520535231;0;0;0;0;0
969.3803;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
969.38135;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.3824;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.38345;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.3845;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.3852;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.38625;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
969.3873;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.38835;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
969.3894;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.39045;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
969.3915;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
969.3922;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.39325;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.3943;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.39535;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.3964;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.39745;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
969.39815;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.3992;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.40025;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.4013;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.40235;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
969.4034;-0.0004305528419;0;350;0;0.9119999409;2.520535231;0;0;0;0;0
969.40445;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.40515;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
969.4062;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
969.40725;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
